track,arm,seed,emb_dim,norm_type,message_relu,runtime_s,gpu_mem_mb,node,git_sha,normalize_nodes,stage,readout,dim,auc,auc_ci_lo,auc_ci_hi,auprc,acc,bal_acc,sens,spec,ppv,npv,f1,mcc,brier,calib_slope,calib_intercept,retention_ratio,fc_recon_r2,frac_edges_r2_gt_0p5,site_f1,age_r2,sex_r2,motion_r2,meanfc_r2,totalfc_r2,auc_loso,fold_auc_sd
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,False,S2,node_flat,2880,0.6357418132969235,0.5993299705632323,0.669457700827899,0.5922334761586832,0.6069182389937107,0.6032218282719285,0.5230769230769231,0.6833667334669339,0.601010101010101,0.6111111111111112,0.5593419506462984,0.20926318037537836,0.24019476497845374,0.4693458622845295,-0.050464943905659115,0.5471872309071698,-3.1864876433445746,0.00024968789013732833,0.3740044211347393,-4.406068428775935,-2.9986057812151197,-11.62807066970021,0.14213195431349557,0.1639130997065985,0.6215992424409258,0.05146912878010377
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,False,S3,node_flat,2880,0.6193706093505693,0.5825578483926142,0.6534224091776645,0.5718018111643492,0.5849056603773585,0.5822766411944769,0.5252747252747253,0.6392785571142284,0.5704057279236276,0.5962616822429907,0.5469107551487414,0.16560697271003758,0.24109380255556664,0.6290450796362345,-0.03736527916600443,0.4811934627642103,0.580258512175896,0.7350811485642946,0.3792511565233488,0.22124011994797355,0.0322233725460358,0.24836738350971055,0.9820398936915165,0.9918756618207787,0.6146402695500892,0.05065725782915835
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,False,S5,global_add_pool,32,0.5402761567090224,0.5038280217622431,0.5788237543073701,0.5087958956479681,0.5440251572327044,0.5407760576097249,0.4703296703296703,0.6112224448897795,0.5245098039215687,0.5586080586080586,0.4959443800695249,0.08233126685415788,0.2526884371746161,0.31564501707497716,-0.06115671216546338,0.16235674274503517,0.34122330889604935,0.03945068664169788,0.0926508611220632,0.022469611368385434,-0.0006206193390307924,0.14283172275823386,0.98244097009122,0.984042026959762,0.5598978176132485,0.04352374011563437
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,False,S6,roi_flatten,2880,0.6193706093505693,0.5825578483926142,0.6534224091776645,0.5718018111643492,0.5849056603773585,0.5822766411944769,0.5252747252747253,0.6392785571142284,0.5704057279236276,0.5962616822429907,0.5469107551487414,0.16560697271003758,0.24109380255556664,0.6290450796362345,-0.03736527916600443,0.4811934627642103,0.580258512175896,0.7350811485642946,0.3792511565233488,0.22124011994797355,0.0322233725460358,0.24836738350971055,0.9820398936915165,0.9918756618207787,0.6146402695500892,0.05065725782915835
T1,B,20260821,32,none,False,25.2,,node11.cognition.gla.alces.network,3047cf7,True,S0,node_flat,8370,0.6314651280583145,0.597525728015584,0.665684625177847,0.590681555510143,0.6048218029350105,0.6004426435288159,0.5054945054945055,0.6953907815631263,0.6020942408376964,0.6066433566433567,0.5495818399044206,0.20477380738195428,0.23846771422097593,0.7923300393867044,-0.02424565284504209,0.529947535220645,0.18916729065340196,0.0,0.658205179053744,0.3070420308796047,0.03171101123658149,0.2407413547897882,0.44872208152512405,0.4434555634438505,0.6101389592371557,0.02105337576431553
T1,B,20260821,32,none,False,24.2,,node11.cognition.gla.alces.network,3047cf7,True,S1,node_flat,8370,0.7399942742628114,0.7090533179304922,0.7702034042502754,0.706380361349643,0.689727463312369,0.6878063819947587,0.6461538461538462,0.7294589178356713,0.6853146853146853,0.6933333333333334,0.665158371040724,0.37712733773029056,0.20735939254778657,0.7882194462479628,-0.009975253543334412,0.9674381031008371,0.7526597101649248,0.9907615480649189,0.6268020018453099,0.4920262969260256,0.06245236530577536,0.412502415568167,0.9834461179155897,0.9999843623168951,0.7301856460173093,0.024742399667451204
T1,B,20260821,32,none,False,102.8,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S2,node_flat,2880,0.6342310995617608,0.6000723807489976,0.6686231443953025,0.5908116190326422,0.59958071278826,0.5964984914884714,0.5296703296703297,0.6633266533066132,0.589242053789731,0.6073394495412844,0.5578703703703703,0.19478099766650195,0.24130787598638614,0.11418925383298863,-0.08346070956415486,0.5410974104947309,-51.24191607682227,0.0,0.3803778850782919,-36.84255780744328,-5.584860159616423,-21.61502080050184,-1.1994781343508527,0.376844213699142,0.6305930542403488,0.028910833809155448
T1,B,20260821,32,none,False,102.8,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S3,node_flat,2880,0.6425025875927679,0.6066675573159432,0.6772975075280508,0.5884764442608528,0.6090146750524109,0.6062917042876963,0.5472527472527473,0.6653306613226453,0.5985576923076923,0.6171003717472119,0.5717566016073479,0.21411521744976902,0.24130531692286478,0.45982201614627294,-0.02957042881585087,0.5744405088462183,0.6074188751581853,0.7940074906367042,0.41941809184037043,0.23708514325807095,0.03556167466254212,0.2522036400092851,0.9883675241870691,0.9924364465404959,0.637873549296395,0.057564388397320636
T1,B,20260821,32,none,False,102.8,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S4,node_flat,2880,0.5915038868946685,0.5565090007365102,0.6275868331742176,0.5574541465681226,0.5639412997903563,0.5616551784888457,0.512087912087912,0.6112224448897795,0.5456674473067916,0.5787476280834914,0.528344671201814,0.12386148456958772,0.28388196095345375,0.06499381360552205,-0.07109986913075735,0.368860244835637,0.3969235148192192,0.14357053682896379,0.3042878666977923,0.05104366602430954,-0.09363429794988942,0.13844512584242807,0.8566587897942171,0.8844813879309075,0.5907903719526966,0.034991249279152654
T1,B,20260821,32,none,False,102.8,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S5,global_add_pool,32,0.5316655288599176,0.49345907915246895,0.5679344179007699,0.5036205655659727,0.5241090146750524,0.5192186570944086,0.41318681318681316,0.625250501002004,0.5013333333333333,0.538860103626943,0.4530120481927711,0.03930556913174721,0.25558379610883497,0.1762981127098936,-0.07651877239569413,0.12764654185197982,0.32790658395059796,0.027965043695380776,0.13825829553607144,0.019135759532532326,-0.00024114090409921296,0.13913283823114442,0.8894044449775987,0.913874501067223,0.5128586844017706,0.017476626841836984
