cond,seed,perm_auc,perm_bacc
FC_only|linsvm,20360819,0.4786892466251183,0.4921623466713647
FC_only|linsvm,20360820,0.5220374815565196,0.5065141271554097
FC_only|linsvm,20360821,0.5042480565526658,0.4980136096368561
FC_only|linsvm,20360822,0.49428086943117,0.4866348080776939
FC_only|linsvm,20360823,0.5134048316413046,0.5162104428637495
FC_only|linsvm,20360824,0.4717346781475038,0.4880574335484155
FC_only|linsvm,20360825,0.5092074258406923,0.5111343566253386
FC_only|linsvm,20360826,0.5161884207976393,0.5168556894007796
FC_only|linsvm,20360827,0.5462089013191218,0.5345041731815279
FC_only|linsvm,20360828,0.493007994009998,0.4877667422757603
FC_only|linsvm,20360829,0.4955449360258979,0.4869585324495144
FC_only|linsvm,20360830,0.5296350943645532,0.5246448941839723
FC_only|linsvm,20360831,0.4973243189676055,0.5028936994868858
FC_only|linsvm,20360832,0.5004162170494836,0.4985619590830011
FC_only|linsvm,20360833,0.507894910700522,0.4924860710431852
FC_only|linsvm,20360834,0.5531590653835143,0.5320795437027902
FC_only|linsvm,20360835,0.4874408156973286,0.4881873637384659
FC_only|linsvm,20360836,0.486471844788478,0.4785549120218458
FC_only|linsvm,20360837,0.5198264661190514,0.514173401748552
FC_only|linsvm,20360838,0.4610980202162567,0.4573850998700698
FC_only|linsvm,20360839,0.4950736638111387,0.5058336453126032
FC_only|linsvm,20360840,0.4963817745380872,0.4903851659362681
FC_only|linsvm,20360841,0.4740117597833029,0.4827567222356801
FC_only|linsvm,20360842,0.5511946970864807,0.538609086304477
FC_only|linsvm,20360843,0.5035521592635821,0.4911603426633486
FC_only|linsvm,20360844,0.4997379374132881,0.5168556894007796
FC_only|linsvm,20360845,0.4764694223612059,0.4707657072386531
FC_only|linsvm,20360846,0.4807372987733709,0.4874760510031051
FC_only|linsvm,20360847,0.5434649518817856,0.5300755356867581
FC_only|linsvm,20360848,0.5295470061001123,0.5227069523662711
FC_only|linsvm,20360849,0.5028914972802748,0.4999845845537228
FC_only|linsvm,20360850,0.470567508643661,0.48737915391222
FC_only|linsvm,20360851,0.4641546829923584,0.4855050760862384
FC_only|linsvm,20360852,0.4961791715298729,0.4922922768614151
FC_only|linsvm,20360853,0.4890440221101544,0.4852452157061375
FC_only|linsvm,20360854,0.5123301548151247,0.5177607963179105
FC_only|linsvm,20360855,0.5194785174745096,0.5115880111872095
FC_only|linsvm,20360856,0.5191481864828558,0.5070955097007201
FC_only|linsvm,20360857,0.5201744147635932,0.5208637054328438
M1D_only|linsvm,20360818,0.5476447400295096,0.552410315135766
M1D_only|linsvm,20360819,0.5271686229602062,0.523708956374287
M1D_only|linsvm,20360820,0.5028430487348323,0.5058997115109339
M1D_only|linsvm,20360821,0.4786187760135655,0.4795899491290273
M1D_only|linsvm,20360822,0.519531370433174,0.5123323570217357
M1D_only|linsvm,20360823,0.5074853002708715,0.5112004228236693
M1D_only|linsvm,20360824,0.477478032989055,0.4826928582439604
