path,seed,stage,auc,bacc,fold_sd,ci_lo,ci_hi,n_feat
P,0,WGIN2_preBN,0.6318439075954106,0.600180580942104,0.04857688923249794,0.5929825236832094,0.6643265884659233,2880
P,1,WGIN2_preBN,0.6275011561584708,0.5964962892818604,0.05293498420381998,0.590907507466687,0.6593836340550047,2880
P,0,final_nodes_postNorm,0.6318439075954106,0.600180580942104,0.04857688923249794,0.5929825236832094,0.6643265884659233,2880
P,7,final_nodes_postNorm,0.6239247726221674,0.589742121605849,0.045989598482913396,0.5853514687241432,0.6569162890136325,2880
P,2,BN1,0.5946838732409875,0.5836001673677025,0.05776246474270601,0.557663300766684,0.6266332386596715,2880
P,9,WGIN1_preBN,0.630698760157678,0.6067101235437908,0.04919115441432018,0.5926526406385273,0.664845448016663,2880
P,1,BN1,0.5954810720341783,0.5785901473276223,0.06040827096786533,0.5588994555726045,0.6278993272577252,2880
P,2,postBN1_toWGIN2,0.5946838732409875,0.5836001673677025,0.05776246474270601,0.557663300766684,0.6266332386596715,2880
P,7,BN2_final_nodes_preNorm,0.6239247726221674,0.589742121605849,0.045989598482913396,0.5853514687241432,0.6569162890136325,2880
P,2,WGIN1_preBN,0.5946838732409875,0.5836001673677025,0.05776246474270601,0.557663300766684,0.6266332386596715,2880
P,4,postBN1_toWGIN2,0.6371424167015349,0.610718139575855,0.046301857999994624,0.598867394469296,0.6714415215912374,2880
P,5,BN2_final_nodes_preNorm,0.639683763130657,0.6108789006584598,0.044967961858224006,0.6006131691252509,0.672375085910701,2880
P,4,WGIN2_preBN,0.6265674205553966,0.5958818736373847,0.046000235139993816,0.5877320196028311,0.6578201541358397,2880
P,8,WGIN1_preBN,0.6326146799092691,0.610718139575855,0.04798652092739009,0.5945807992367854,0.664923520036128,2880
P,7,WGIN1_preBN,0.6400317117751988,0.6121077319474113,0.04518208151953758,0.6024399301363513,0.6741121248378129,2880
P,8,BN1,0.6326146799092691,0.610718139575855,0.04798652092739009,0.5945807992367854,0.664923520036128,2880
P,5,WGIN2_preBN,0.639683763130657,0.6108789006584598,0.044967961858224006,0.6006131691252509,0.672375085910701,2880
P,8,postBN1_toWGIN2,0.6326146799092691,0.610718139575855,0.04798652092739009,0.5945807992367854,0.664923520036128,2880
P,7,BN1,0.6400317117751988,0.6121077319474113,0.04518208151953758,0.6024399301363513,0.6741121248378129,2880
P,8,WGIN2_preBN,0.6210795216807241,0.5824043691779163,0.0505295367827555,0.5844893419727598,0.6553258164681011,2880
P,6,postBN1_toWGIN2,0.6258583100266467,0.6034134202470876,0.044355890167708995,0.5870392833586621,0.6595277714835611,2880
P,4,final_nodes_postNorm,0.6265674205553966,0.5958818736373847,0.046000235139993816,0.5877320196028311,0.6578201541358397,2880
P,7,postBN1_toWGIN2,0.6400317117751988,0.6121077319474113,0.04518208151953758,0.6024399301363513,0.6741121248378129,2880
P,4,BN2_final_nodes_preNorm,0.6265674205553966,0.5958818736373847,0.046000235139993816,0.5877320196028311,0.6578201541358397,2880
P,5,postBN1_toWGIN2,0.638600277478033,0.6134004272280826,0.044122132773762444,0.600270976252725,0.6726715323086744,2880
P,6,WGIN1_preBN,0.6258583100266467,0.6034134202470876,0.044355890167708995,0.5870392833586621,0.6595277714835611,2880
O,4,BN1,0.6371424167015349,0.610718139575855,0.046301857999994624,0.598867394469296,0.6714415215912374,2880
P,4,h,0.48493470457398313,0.4736153625933185,0.04429961187049149,0.44827795829200767,0.5185616993058042,32
P,6,WGIN2_preBN,0.6286815389019799,0.5946860754475984,0.047028928935869053,0.5917203696064447,0.6616623878815769,2880
P,4,z,0.4673346693386774,0.47439274152701005,0.03849208483343135,0.4281504309193968,0.5005133052358662,32
P,9,h,0.4735757228743201,0.47911207029443503,0.020925640956512916,0.4366841302700026,0.5090511456572628,32
O,0,WGIN1_preBN,0.6327776431984848,0.608811028650708,0.04474616501483265,0.5948821816980226,0.6663314378771527,2880
P,9,z,0.47256711224647097,0.46912506331344006,0.036105656289459796,0.43581531373264876,0.5060989708741495,32
O,4,h,0.5283974542491576,0.5099429628487745,0.04042823036817486,0.4912342607121251,0.5657685278717539,32
O,0,BN1,0.6327776431984848,0.608811028650708,0.04474616501483265,0.5948821816980226,0.6663314378771527,2880
O,4,z,0.5029223281728291,0.49665925257107624,0.04202185059431654,0.4676443791049569,0.5396805300677583,32
