source,band,norm,clf,pooled_auc,pooled_bacc,pooled_acc,pooled_sens,pooled_spec,pooled_f1,pooled_prec,pooled_tn,pooled_fp,pooled_fn,pooled_tp,auc_mean,auc_sd,bacc_mean,bacc_sd,acc_mean,sens_mean,spec_mean,f1_mean,prec_mean,per_fold_auc,best_C,secs
M2,slow5,C_SUBJ_BAND_MINMAX,logreg,0.62580105265476,0.5998282278843401,0.6037735849056604,0.5142857142857142,0.685370741482966,0.5531914893617021,0.59846547314578,342,157,221,234,0.6296170496170496,0.0331402337111996,0.5997691197691198,0.0343086798380458,0.6037475888674566,0.5142857142857142,0.6852525252525253,0.553026179114084,0.6037465117379034,"[0.624066, 0.677802, 0.642308, 0.615165, 0.588745]","[1, 1, 0.1, 1, 1]",0.4
M2,classical,C_SUBJ_BAND_MINMAX,logreg,0.6121385628399656,0.5898412209033452,0.5943396226415094,0.4923076923076923,0.687374749498998,0.5365269461077844,0.5894736842105263,343,156,231,224,0.6153078033078032,0.0233147269065286,0.5897599067599067,0.031604304757923,0.5942794158170295,0.4923076923076923,0.6872121212121212,0.5366912675943791,0.5915292248403508,"[0.609011, 0.630769, 0.630659, 0.629121, 0.576979]","[0.1, 1, 0.1, 1, 1]",0.5
OLD,slow5,C_SUBJ_BAND_MINMAX,logreg,0.6232024488537515,0.6036732806271885,0.6058700209643606,0.5560439560439561,0.6513026052104208,0.5736961451247166,0.5925058548009368,325,174,202,253,0.6219012099012099,0.038189212950587,0.6036583416583416,0.0244276802554624,0.6058528520253514,0.5560439560439561,0.6512727272727272,0.5735578065314865,0.5931954666327451,"[0.563516, 0.664286, 0.614835, 0.645934, 0.620935]","[1, 1, 1, 1, 1]",0.5
OLD,classical,C_SUBJ_BAND_MINMAX,logreg,0.6123631879142901,0.5940738620097337,0.5964360587002097,0.5428571428571428,0.6452905811623246,0.5620022753128555,0.5825471698113207,322,177,208,247,0.6175790875790876,0.0382753074305779,0.59411544011544,0.03368301729804,0.5964563240562138,0.5428571428571428,0.6453737373737374,0.5622754533537934,0.5858111571274349,"[0.55978, 0.665275, 0.609341, 0.628791, 0.624709]","[1000, 1, 1, 1, 1]",0.6
M1,slow5,D_SUBJ_BAND_Z,linsvm,0.6522935981853818,0.5982448413310137,0.6027253668763103,0.5010989010989011,0.6953907815631263,0.5461077844311377,0.6,347,152,227,228,0.6534503274503275,0.0312811698365075,0.5982363192363193,0.0480163889079768,0.6027114907688068,0.5010989010989011,0.6953737373737374,0.5461166385738927,0.6036813535370602,"[0.608462, 0.671099, 0.661648, 0.688791, 0.637252]","[0.001, 0.001, 0.001, 0.001, 0.001]",1.7
M1,classical,D_SUBJ_BAND_Z,linsvm,0.6392301085687859,0.6065185315686318,0.610062893081761,0.5296703296703297,0.6833667334669339,0.5644028103044496,0.6040100250626567,341,158,214,241,0.6406162726162727,0.0175613757857265,0.6065321345321346,0.0073707137072127,0.6100633783411409,0.5296703296703297,0.6833939393939394,0.5614998907784214,0.6089561518406804,"[0.623077, 0.666264, 0.649011, 0.637912, 0.626818]","[0.01, 0.001, 0.001, 0.01, 0.001]",0.5
M2,slow5,D_SUBJ_BAND_Z,linsvm,0.6344645334625295,0.6055825937589464,0.6111111111111112,0.4857142857142857,0.7254509018036072,0.5436654366543665,0.61731843575419,362,137,234,221,0.6363949383949384,0.0315583958442126,0.6055541125541126,0.0207156860964907,0.6110774317993938,0.4857142857142857,0.7253939393939394,0.5435490780488018,0.6190013420523607,"[0.622967, 0.686374, 0.645495, 0.623077, 0.604063]","[0.001, 0.001, 0.001, 0.01, 0.001]",0.5
M2,classical,D_SUBJ_BAND_Z,linsvm,0.6254883393159947,0.5883877645400691,0.5943396226415094,0.4593406593406593,0.717434869739479,0.5192546583850932,0.5971428571428572,358,141,246,209,0.6259713619713619,0.025472298236111,0.5883571983571985,0.026161240578678,0.5942959492973271,0.4593406593406593,0.7173737373737374,0.5183722816355664,0.5966076510566458,"[0.61011, 0.652308, 0.634286, 0.643077, 0.590077]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.5
OLD,slow5,D_SUBJ_BAND_Z,linsvm,0.6090466647580876,0.5722257702217622,0.5765199161425576,0.4791208791208791,0.6653306613226453,0.5190476190476191,0.5662337662337662,332,167,237,218,0.6118481518481518,0.0449660720186541,0.5722271062271063,0.0350112656130449,0.5764838798567098,0.4791208791208791,0.6653333333333332,0.5179324663067156,0.566206782660925,"[0.546703, 0.654396, 0.61033, 0.653407, 0.594406]","[0.01, 0.001, 0.01, 0.01, 0.001]",0.5
OLD,classical,D_SUBJ_BAND_Z,linsvm,0.6110594816005637,0.58537955030941,0.5880503144654088,0.5274725274725275,0.6432865731462926,0.5498281786941581,0.5741626794258373,321,178,215,240,0.6139857919857921,0.0341909259105465,0.5854231324231325,0.0211338171895787,0.5880683383852301,0.5274725274725275,0.6433737373737374,0.5499104285463051,0.5757870993742176,"[0.564176, 0.66, 0.618901, 0.618571, 0.608281]","[10, 0.01, 0.01, 1000, 0.01]",0.5
