subject,ablation,Q_across_node_var,Q_mean_cos,Q_eff_rank,Q_frac_var_sv1,Q_mean_pair_dist,Q_mean_norm,W1_across_node_var,W1_mean_cos,W1_eff_rank,W1_frac_var_sv1,W1_mean_pair_dist,W1_mean_norm,q_norm
CMU_a_0050660,4_all_ones,0.026134922579549604,0.9999976764365949,1.82456502147562,0.928503833560737,0.3209993115800716,51.09241518683359,0.0009845580112192527,0.9999958795811561,1.9512438795938871,0.8795249113475405,0.20711093808622877,31.43601594997583,51.09241518683359
CMU_a_0050660,5_offdiag_only,5.58709854300789,0.9991475742726811,1.3751303368487424,0.9917678133627028,4.66260663222596,16.613894330328783,0.20282492370223015,0.9969291349060259,1.7388658022112908,0.9859999080430589,2.916231025077289,9.969727087075768,16.613894330328783
CMU_a_0050663,1_raw_signed,3.527955093750736,0.999069429845757,1.435496937293781,0.9850742794369897,3.777205100296604,15.046226926509132,0.14191114838825802,0.9975142624352139,1.5578608460927061,0.9763687296978463,2.489018160584342,9.457347785214466,15.046226926509132
CMU_a_0050663,2_abs,2.4128099362876525,0.9994007081330843,1.4810191447472811,0.980433013025126,3.149524628144557,15.6639971594891,0.09734498146484649,0.9985295121092187,1.6016622349691079,0.9689600133938003,2.08147888960518,9.85760288127933,15.6639971594891
CMU_a_0050663,3_pos_only,2.898555670862725,0.9992894490635627,1.4582458734687522,0.9828601548118017,3.449570090834008,15.354964577720251,0.116719292616672,0.9981832545443222,1.573959874948198,0.9727765166965624,2.2762768420839743,9.657187277176089,15.354964577720251
CMU_a_0050663,4_all_ones,0.017492758239427034,0.9999971543488813,1.8419819554639536,0.9100465111405722,0.26667698750781454,40.83583344952186,0.0007198092643888299,0.9999955020817206,1.999117554268143,0.869093253963231,0.17865534333446048,26.09100445191239,40.83583344952186
CMU_a_0050663,5_offdiag_only,3.4937768222939387,0.9991237562206859,1.4001049324104933,0.9878645528202413,3.74976073459083,14.596682558452548,0.13992217631929238,0.9974128461364827,1.5069438900958452,0.9805622613977242,2.4635467871332906,9.168518288919255,14.596682558452548
CMU_a_0050664,1_raw_signed,10.479355557921702,0.9557002882309685,1.4232711208620223,0.987134299050322,6.160397359784725,22.685879464470162,0.3619171927910847,0.9757103635466862,1.9121771174251072,0.9758013635968922,3.803211712501902,13.557146065505416,22.685879464470162
CMU_a_0050664,2_abs,7.219181527555695,0.9992695506969218,1.4508544588430106,0.9849706794316663,5.347263179007398,23.315575562466748,0.25901695663734525,0.9984076855681386,1.6063080360821378,0.9769408687805584,3.328435663566571,13.925837633344125,23.315575562466748
CMU_a_0050664,3_pos_only,8.669586881021958,0.9990418059371146,1.4368760730157943,0.986092004940521,5.745550484136923,22.980043223140864,0.3108960810597559,0.9965647025832423,1.6397645886077257,0.978577835971061,3.575774408256807,13.721567246452734,22.980043223140864
CMU_a_0050664,4_all_ones,0.028125457179293923,0.9999979543708819,1.8718711151210194,0.9219386535124596,0.3357583992611747,57.38611418167246,0.0010406044239139635,0.9999968360495372,1.9791206126113792,0.886947798625462,0.21365117961215174,34.89855824515856,57.38611418167246
