unit,fold,fold_protocol,arm,arch,spec,seed,repr_dim,movement_max,clip_rate,best_epoch,svm_tr_enc,native_auc,native_width,native_evr,pca32_auc,pca32_width,pca32_evr,pca64_auc,pca64_width,pca64_evr
s17b_R1s_signed_fused_s0,site2,site,R1s,ROWMLP,fcrow_signed,20260818,2880,0.4106093645095825,0.06388888888888888,40,0.7154150197628458,0.6170399648660518,2880,,0.6220904699165568,32,0.5604797210787358,0.6209925340360123,64,0.6707322094547493
s17b_R1s_signed_fused_s1,lab0,lab,R1s,ROWMLP,fcrow_signed,20260819,2880,0.2669966518878937,0.06015625,29,0.7318681318681318,0.6979120879120879,2880,,0.6485714285714285,32,0.5174691261376019,0.6186813186813187,64,0.6313595017057763
s17b_R1s_signed_fused_s1,lab1,lab,R1s,ROWMLP,fcrow_signed,20260819,2880,0.6616948843002319,0.06587837837837837,61,0.794065934065934,0.6815384615384615,2880,,0.6874725274725275,32,0.5635691205427233,0.6736263736263736,64,0.6678507042102523
s17b_R1s_signed_fused_s1,lab2,lab,R1s,ROWMLP,fcrow_signed,20260819,2880,0.42607706785202026,0.06458333333333334,40,0.7156043956043956,0.6327472527472529,2880,,0.663956043956044,32,0.5444239814544746,0.6199999999999999,64,0.6524302304829317
s17b_R1s_signed_fused_s1,loso0,loso,R1s,ROWMLP,fcrow_signed,20260819,2880,0.8131411075592041,0.062348178137651825,80,0.546875,0.33854166666666663,2880,,0.42187500000000006,32,0.554058942416132,0.4010416666666667,64,0.6599904596885762
s17b_R1s_signed_fused_s1,loso1,loso,R1s,ROWMLP,fcrow_signed,20260819,2880,0.37564241886138916,0.06015037593984962,34,0.8080808080808081,0.6464646464646465,2880,,0.6464646464646465,32,0.5608808098350206,0.6868686868686869,64,0.6616219589858511
s17b_R1s_signed_fused_s1,loso2,loso,R1s,ROWMLP,fcrow_signed,20260819,2880,0.31715571880340576,0.07342430149447693,31,0.6541353383458647,0.6146616541353384,2880,,0.6296992481203008,32,0.5440998790063645,0.6165413533834586,64,0.6495781097431746
s17b_R1s_signed_fused_s1,site0,site,R1s,ROWMLP,fcrow_signed,20260819,2880,0.35729968547821045,0.060294117647058824,35,0.8221978021978023,0.6335164835164835,2880,,0.6894505494505494,32,0.5433684326795784,0.5950549450549452,64,0.6510950460526448
s17b_R1s_signed_fused_s1,site1,site,R1s,ROWMLP,fcrow_signed,20260819,2880,0.45264437794685364,0.06589673913043478,42,0.708498023715415,0.5144927536231885,2880,,0.4756258234519104,32,0.5620030463487383,0.5104303908651735,64,0.6705907657592731
s17b_R1s_signed_fused_s1,site2,site,R1s,ROWMLP,fcrow_signed,20260819,2880,0.5491408705711365,0.068125,50,0.7154150197628458,0.6477821695213,2880,,0.6604084321475626,32,0.5774298996971543,0.6571146245059288,64,0.681546044789324
s17b_R1s_signed_fused_s2,lab0,lab,R1s,ROWMLP,fcrow_signed,20260820,2880,0.2927398979663849,0.06402439024390244,32,0.7318681318681318,0.6852747252747252,2880,,0.6407692307692308,32,0.5923494017908437,0.6276923076923078,64,0.6929088479374199
s17b_R1s_signed_fused_s2,lab1,lab,R1s,ROWMLP,fcrow_signed,20260820,2880,0.3454285264015198,0.06102941176470588,35,0.794065934065934,0.67,2880,,0.666043956043956,32,0.5599818685151061,0.6304395604395604,64,0.6672670724018741
s17b_R1s_signed_fused_s2,lab2,lab,R1s,ROWMLP,fcrow_signed,20260820,2880,0.36811912059783936,0.0603448275862069,37,0.7156043956043956,0.6340659340659341,2880,,0.6443956043956043,32,0.5658067474961699,0.6100000000000001,64,0.671332950397666
s17b_R1s_signed_fused_s2,loso0,loso,R1s,ROWMLP,fcrow_signed,20260820,2880,0.6348116993904114,0.06000983767830792,57,0.546875,0.28125,2880,,0.31770833333333337,32,0.5638742151310745,0.4739583333333333,64,0.6685752744128208
s17b_R1s_signed_fused_s2,loso1,loso,R1s,ROWMLP,fcrow_signed,20260820,2880,0.48863524198532104,0.05432937181663837,43,0.8080808080808081,0.6666666666666666,2880,,0.7171717171717171,32,0.5782854015044481,0.6767676767676767,64,0.6802045343655648
s17b_R1s_signed_fused_s2,loso2,loso,R1s,ROWMLP,fcrow_signed,20260820,2880,0.46542271971702576,0.06508205998868138,43,0.6541353383458647,0.618421052631579,2880,,0.6484962406015038,32,0.5916029095805219,0.593984962406015,64,0.6926818847541668
s17b_R1s_signed_fused_s2,site0,site,R1s,ROWMLP,fcrow_signed,20260820,2880,0.5728475451469421,0.055424528301886794,56,0.8221978021978023,0.6735164835164835,2880,,0.6762637362637363,32,0.5815468954702225,0.6842857142857142,64,0.6861552699276321
s17b_R1s_signed_fused_s2,site1,site,R1s,ROWMLP,fcrow_signed,20260820,2880,0.5324578285217285,0.06553398058252427,53,0.708498023715415,0.5884936319718929,2880,,0.5628019323671497,32,0.5681201607049235,0.5686209925340361,64,0.6756631368807857
s17b_R1s_signed_fused_s2,site2,site,R1s,ROWMLP,fcrow_signed,20260820,2880,0.5346574783325195,0.061887254901960786,52,0.7154150197628458,0.6424022837066315,2880,,0.658102766798419,32,0.58893927300277,0.629776021080369,64,0.6923215343742785
