unit,fold,fold_protocol,arm,arch,E,mode,spec,seed,D_in,status,verdict,head,probe_honest,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,n_params,repr_dim_used,n_tr_enc,n_tr_probe,n_te,policy_hash,wall_s,node
s17_R1p_signed_fused_s0,lab1,lab,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.7357142857142857,0.6728571428571428,0.794065934065934,0.7860439560439563,0.794065934065934,1.0,0.0,0.008021978021977683,0.6507412791252136,0.07021103896103896,104,2464,19009,2880,610,153,191,798ed7790c1ddabc,45.9,node05.cognition.gla.alces.network
s17_R1p_signed_fused_s0,lab2,lab,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.7147252747252747,0.5991208791208791,0.7156043956043956,0.7224175824175824,0.7208791208791209,0.9,0.005274725274725278,-0.0015384615384614886,0.44992518424987793,0.046556122448979595,48,1568,19009,2880,610,153,191,798ed7790c1ddabc,46.8,node02.cognition.gla.alces.network
s17_R1p_signed_fused_s0,loso0,loso,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.4739583333333333,0.26041666666666663,0.546875,0.5885416666666667,0.546875,1.0,0.0,-0.04166666666666674,0.5326056480407715,0.04554655870445344,54,1976,19009,2880,740,186,28,798ed7790c1ddabc,55.0,node08.cognition.gla.alces.network
s17_R1p_signed_fused_s0,loso1,loso,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.8888888888888888,0.6969696969696969,0.8080808080808081,0.8181818181818181,0.8080808080808081,0.8,0.0,-0.010101010101010055,0.7104941010475159,0.05662431941923775,95,2755,19009,2880,747,187,20,798ed7790c1ddabc,59.7,node06.cognition.gla.alces.network
s17_R1p_signed_fused_s0,loso2,loso,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.5,0.6466165413533834,0.6541353383458647,0.6936090225563909,0.674812030075188,0.7,0.020676691729323293,-0.018796992481202923,0.6120778322219849,0.07105263157894737,70,2280,19009,2880,725,182,47,798ed7790c1ddabc,54.3,node01.cognition.gla.alces.network
s17_R1p_signed_fused_s0,site0,site,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.7176923076923077,0.5782417582417583,0.8221978021978023,0.8201098901098901,0.8221978021978023,1.0,0.0,0.002087912087912147,0.28229036927223206,0.04573170731707317,32,1312,19009,2880,610,153,191,798ed7790c1ddabc,39.7,node05.cognition.gla.alces.network
s17_R1p_signed_fused_s0,site1,site,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.6651295564339043,0.5701581027667985,0.708498023715415,0.6982872200263504,0.708498023715415,1.0,0.0,0.010210803689064685,0.708143413066864,0.07315668202764977,167,3472,19009,2880,610,153,191,798ed7790c1ddabc,52.1,node03.cognition.gla.alces.network
s17_R1p_signed_fused_s0,site2,site,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.6303249890206413,0.5747694334650856,0.7154150197628458,0.7221124286341678,0.7154150197628458,1.0,0.0,-0.006697408871321975,0.5864418148994446,0.05853174603174603,76,2016,19009,2880,610,153,191,798ed7790c1ddabc,49.8,node02.cognition.gla.alces.network
s17_R1p_signed_fused_s1,lab0,lab,R1p,ROWMLP,signed,fused,fcrow_split,20260819,180,OK,OVERFIT,0.6310989010989011,0.67,0.7318681318681318,0.749010989010989,0.7351648351648351,0.85,0.003296703296703285,-0.013846153846153841,0.45680585503578186,0.05461165048543689,53,1648,19009,2880,610,153,191,798ed7790c1ddabc,50.3,node03.cognition.gla.alces.network
s17_R1p_signed_fused_s1,lab1,lab,R1p,ROWMLP,signed,fused,fcrow_split,20260819,180,OK,OVERFIT,0.6727472527472528,0.6917582417582417,0.794065934065934,0.7860439560439563,0.7967032967032968,0.95,0.0026373626373628056,0.010659340659340488,0.5756531953811646,0.06557377049180328,72,1952,19009,2880,610,153,191,798ed7790c1ddabc,43.4,node05.cognition.gla.alces.network
s17_R1p_signed_fused_s1,lab2,lab,R1p,ROWMLP,signed,fused,fcrow_split,20260819,180,OK,OVERFIT,0.612967032967033,0.5912087912087912,0.7156043956043956,0.7224175824175824,0.695934065934066,0.6,-0.019670329670329556,-0.026483516483516323,0.49081605672836304,0.05381944444444445,58,1728,19009,2880,610,153,191,798ed7790c1ddabc,46.8,node06.cognition.gla.alces.network
s17_R1p_signed_fused_s1,loso0,loso,R1p,ROWMLP,signed,fused,fcrow_split,20260819,180,OK,OVERFIT,0.5885416666666666,0.4375,0.546875,0.5885416666666667,0.5208333333333333,0.9,-0.02604166666666674,-0.06770833333333348,0.6954973340034485,0.06587898317221626,97,2793,19009,2880,740,186,28,798ed7790c1ddabc,65.0,node06.cognition.gla.alces.network
s17_R1p_signed_fused_s1,loso1,loso,R1p,ROWMLP,signed,fused,fcrow_split,20260819,180,OK,OVERFIT,0.7171717171717171,0.5454545454545454,0.8080808080808081,0.8181818181818181,0.8080808080808081,0.95,0.0,-0.010101010101010055,0.4699063301086426,0.049441786283891544,49,1881,19009,2880,747,187,20,798ed7790c1ddabc,59.8,node06.cognition.gla.alces.network
s17_R1p_signed_fused_s1,loso2,loso,R1p,ROWMLP,signed,fused,fcrow_split,20260819,180,OK,OVERFIT,0.513157894736842,0.5827067669172932,0.6541353383458647,0.6936090225563909,0.6560150375939849,0.95,0.001879699248120259,-0.03759398496240596,0.7013347744941711,0.06972846128059002,107,2983,19009,2880,725,182,47,798ed7790c1ddabc,60.8,node06.cognition.gla.alces.network
