seed,path,branch,n,h_auc,h_bacc,h_fold_sd,h_loso_auc,h_loso_bacc,h_loso_fold_sd,z_auc,z_bacc,z_fold_sd,z_loso_auc,z_loso_bacc,z_loso_fold_sd
14,O,C,954,0.4657843158845163,0.46149221519963,0.05472945575435716,,,,0.4470303243850338,0.46052544649739036,0.04847468186588994,,,
14,O,D,954,0.5138144420709551,0.5065515646677972,0.03351855987476101,,,,0.5113303530137197,0.5025127177431786,0.029254158449213467,,,
14,P,B,954,0.49099517716752183,0.48602920125966215,0.03347160284238526,0.4902420225065516,0.48984122090334514,0.0942046018169932,0.4973595542733819,0.49375233984452427,0.041358166726175954,0.5034288356933648,0.5080710872294039,0.09438098318263761
14,P,C,954,0.4741703186592966,0.471386729502962,0.05917346542148091,,,,0.45519610649871173,0.46611905128939196,0.03703577257485725,,,
14,P,D,954,0.5490937919795635,0.5429121980224185,0.021616639790846652,,,,0.4916998832830496,0.4945913805633244,0.056256621144267605,,,
15,C,B,954,0.522160805126737,0.5070668810147768,0.02039177053530582,0.5214957387302077,0.5078750908410227,0.08823618109758158,0.5552423528375432,0.5519940980862825,0.026330875221212448,0.5510537558633751,0.5369332070734877,0.09677636187583713
15,C,C,954,0.4732189654033342,0.47290404985795764,0.049837904843683306,,,,0.4512629654914224,0.47232266731264727,0.020053860718735116,,,
15,C,D,954,0.49898037833909575,0.5033187253628135,0.04000702771555097,,,,0.5053183289656236,0.49572551696800193,0.03692492401395966,,,
15,O,B,954,0.522160805126737,0.5070668810147768,0.02039177053530582,0.5214957387302077,0.5078750908410227,0.08823618109758158,0.5552423528375432,0.5519940980862825,0.026330875221212448,0.5510537558633751,0.5369332070734877,0.09677636187583713
15,O,C,954,0.4732189654033342,0.47290404985795764,0.049837904843683306,,,,0.4512629654914224,0.47232266731264727,0.020053860718735116,,,
15,O,D,954,0.49898037833909575,0.5033187253628135,0.04000702771555097,,,,0.5053183289656236,0.49572551696800193,0.03692492401395966,,,
15,P,B,954,0.48793410997819814,0.4809222841286969,0.03612473337161378,0.4531920984826797,0.4636966240172653,0.09970476454397488,0.5129335594265454,0.5007025039089167,0.022123596478838662,0.5193155541852936,0.5162478803761369,0.10356205114580225
15,P,C,954,0.4982052016120152,0.4938492369354093,0.04757354917883485,,,,0.5065031161223547,0.4932017881917682,0.058795666861532835,,,
15,P,D,954,0.5231033495562554,0.5115593825012663,0.03450530735700022,,,,0.5025919971811755,0.49934374242991475,0.02213424088883146,,,
16,C,B,954,0.5233984452421326,0.519800039639719,0.02150076958829973,0.5154616926160013,0.5027351406108921,0.09196786815998872,0.5350128829086744,0.5233896364156885,0.022552715140754832,0.5263141667951288,0.5124975225175626,0.09633404402591995
16,C,C,954,0.46317690325706357,0.4723512959985906,0.02668418522577166,,,,0.4544561650774076,0.4573234380849611,0.05139057383482886,,,
16,C,D,954,0.5044066154286596,0.507262877403158,0.032670472041284725,,,,0.5027197251646149,0.5037107181395759,0.04700857218079685,,,
16,O,B,954,0.5233984452421326,0.519800039639719,0.02150076958829973,0.5154616926160013,0.5027351406108921,0.09196786815998872,0.5350128829086744,0.5233896364156885,0.022552715140754832,0.5263141667951288,0.5124975225175626,0.09633404402591995
16,O,C,954,0.46317690325706357,0.4723512959985906,0.02668418522577166,,,,0.4544561650774076,0.4573234380849611,0.05139057383482886,,,
16,O,D,954,0.5044066154286596,0.507262877403158,0.032670472041284725,,,,0.5027197251646149,0.5037107181395759,0.04700857218079685,,,
16,P,B,954,0.49606906119932165,0.48712590015195223,0.05685841671404395,0.4820894536325398,0.4850271972516461,0.11242835715487107,0.511713536964038,0.5105926137990267,0.030652471178697294,0.5101323526173226,0.5093968156092404,0.12285920643395051
16,P,C,954,0.46902155960272196,0.467572507652668,0.057722146248620466,,,,0.47696712105529737,0.4706423836684358,0.05955607042522721,,,
16,P,D,954,0.5297804400008809,0.5281728291748332,0.054245904922460564,,,,0.507172586932106,0.5080358519236274,0.047039806456461324,,,
17,C,B,954,0.5024818868506243,0.5027681737100574,0.011759454162113853,0.5341716399832633,0.5416503336343016,0.09999591182965714,0.49524984034002073,0.4894514303331938,0.04188495559897759,0.49106564777907463,0.49598097293488075,0.07910985347823149
17,C,C,954,0.47976392345129826,0.47328943601488693,0.055855169414293714,,,,0.4662555880992755,0.468667004338347,0.05632552763278106,,,
