host,time,slurm_job,slurm_array,git_head,git_dirty,python,torch,cuda_available,device_name,base_seed,unit,seed,path,branch,device,secs,h_dim,z_dim
node15.cognition.gla.alces.network,2026-08-19T02:56:26,1869350,6,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,12,C,D,cpu,0.92,32,32
node11.cognition.gla.alces.network,2026-08-19T02:56:38,1869345,1,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,12,O,B,cpu,2.1,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:25,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,12,O,C,cpu,0.88,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:25,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,12,O,D,cpu,0.88,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:24,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,12,P,B,cpu,0.69,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:23,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,12,P,C,cpu,0.68,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:25,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,12,P,D,cpu,0.64,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:26,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,C,B,cpu,0.89,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:25,1869348,4,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,C,C,cpu,0.85,32,32
node16.cognition.gla.alces.network,2026-08-19T02:56:26,1869349,5,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,C,D,cpu,0.82,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:25,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,O,B,cpu,0.78,32,32
node11.cognition.gla.alces.network,2026-08-19T02:56:40,1869345,1,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,O,C,cpu,1.79,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:26,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,O,D,cpu,0.9,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:27,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,P,B,cpu,0.84,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:24,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,P,C,cpu,0.68,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:24,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,13,P,D,cpu,0.68,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:26,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,14,C,B,cpu,0.91,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:26,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,14,C,C,cpu,0.9,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:26,1869348,4,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,14,C,D,cpu,0.86,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:25,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,14,O,B,cpu,0.84,32,32
