unit,fold,fold_protocol,arm,arch,E,mode,control,alff_mode,seed,status,verdict,head,head_ema,probe_honest,probe_old_full,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,ema_delta,ocread_entropy,n_tr_enc,n_tr_probe,policy_hash,wall_s,node
ctrl_A4_C-PERM_signed_plain_s2,site2,site,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.4158437568575818,0.43767829712530176,0.46148782093482554,0.41463682247092387,0.5810840465218344,0.597651964011411,,,,,0.10574350506067276,0.061875,50,1600,0.02183454026771997,nan,610,153,798ed7790c1ddabc,477.8,node09.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,lab0,lab,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.6065934065934065,0.618021978021978,0.5543956043956044,0.6067032967032967,0.7318681318681318,0.749010989010989,,,,,0.017857307568192482,0.09438775510204081,97,2352,0.011428571428571455,nan,610,153,798ed7790c1ddabc,1150.8,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,lab1,lab,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.6382417582417583,0.6297802197802198,0.5981318681318681,0.6435164835164835,0.794065934065934,0.7860439560439563,,,,,0.02544604241847992,0.0934436274509804,154,3264,-0.00846153846153852,nan,610,153,798ed7790c1ddabc,1268.0,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,lab2,lab,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.5624175824175824,0.5252747252747253,0.5645054945054946,0.6105494505494506,0.7156043956043956,0.7224175824175824,,,,,0.010402684099972248,0.09134615384615384,54,1664,-0.037142857142857144,nan,610,153,798ed7790c1ddabc,964.0,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,loso0,loso,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.42708333333333337,0.38020833333333337,0.5104166666666666,0.47916666666666663,0.546875,0.5885416666666667,,,,,0.03274710476398468,0.09952897808724145,207,4883,-0.046875,nan,740,186,798ed7790c1ddabc,1750.6,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,loso1,loso,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.7575757575757576,0.8484848484848484,0.5151515151515151,0.6666666666666667,0.8080808080808081,0.8181818181818181,,,,,0.02623080089688301,0.09626397600218162,143,3667,0.09090909090909083,nan,747,187,798ed7790c1ddabc,1486.4,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,loso2,loso,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,HEALTHY,0.45112781954887216,0.42481203007518803,0.5319548872180451,0.6541353383458647,0.6541353383458647,0.6936090225563909,,,,,0.004822626709938049,0.0993421052631579,30,1520,-0.026315789473684126,nan,725,182,798ed7790c1ddabc,1059.8,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,site0,site,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.6517582417582418,0.6567032967032969,0.5041758241758242,0.6159340659340659,0.8221978021978023,0.8201098901098901,,,,,0.026875784620642662,0.09572072072072071,172,3552,0.0049450549450550385,nan,610,153,798ed7790c1ddabc,1354.7,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,site1,site,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.5385375494071146,0.5046113306982872,0.5439174352217832,0.5805884936319718,0.708498023715415,0.6982872200263504,,,,,0.013989686034619808,0.08965163934426229,72,1952,-0.033926218708827394,nan,610,153,798ed7790c1ddabc,1052.5,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s0,site2,site,A4,WGIN,signed,plain,C-RAND,z,20260818,OK,OVERFIT,0.5790513833992095,0.5567632850241546,0.580588493631972,0.6316425120772947,0.7154150197628458,0.7221124286341678,,,,,0.018449312075972557,0.09310344827586207,95,2320,-0.022288098375054854,nan,610,153,798ed7790c1ddabc,1094.3,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,lab0,lab,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,OVERFIT,0.5800000000000001,0.5504395604395603,0.5452747252747252,0.585054945054945,0.7318681318681318,0.749010989010989,,,,,0.011437804438173771,0.10300925925925926,58,1728,-0.029560439560439744,nan,610,153,798ed7790c1ddabc,1130.1,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,lab1,lab,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,UNDERFIT,0.5067032967032967,0.5083516483516484,0.540989010989011,0.6286813186813187,0.794065934065934,0.7860439560439563,,,,,2.9322056434466504e-05,0.10703125,1,1280,0.0016483516483516425,nan,610,153,798ed7790c1ddabc,1068.2,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,lab2,lab,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,OVERFIT,0.5927472527472528,0.5514285714285714,0.5224175824175824,0.48835164835164835,0.7156043956043956,0.7224175824175824,,,,,0.0041621774435043335,0.1015625,27,1280,-0.04131868131868144,nan,610,153,798ed7790c1ddabc,1126.7,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,loso0,loso,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,OVERFIT,0.390625,0.7447916666666667,0.484375,0.2708333333333333,0.546875,0.5885416666666667,,,,,0.004478463437408209,0.0993421052631579,25,1520,0.35416666666666674,nan,740,186,798ed7790c1ddabc,1379.5,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,loso1,loso,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,OVERFIT,0.7474747474747475,0.505050505050505,0.6161616161616161,0.7272727272727273,0.8080808080808081,0.8181818181818181,,,,,0.004260794725269079,0.10855263157894737,25,1520,-0.24242424242424254,nan,747,187,798ed7790c1ddabc,1305.3,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,loso2,loso,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,UNDERFIT,0.48872180451127817,0.48120300751879697,0.41541353383458646,0.5601503759398496,0.6541353383458647,0.6936090225563909,,,,,3.848563210340217e-05,0.10460526315789474,1,1520,-0.007518796992481203,nan,725,182,798ed7790c1ddabc,1217.3,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,site0,site,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,OVERFIT,0.6094505494505496,0.6168131868131869,0.5105494505494506,0.601978021978022,0.8221978021978023,0.8201098901098901,,,,,0.009908702224493027,0.10375,50,1600,0.007362637362637314,nan,610,153,798ed7790c1ddabc,1119.4,node06.cognition.gla.alces.network
