id,site,r_m1_old,r_m2_old,r_m1_m2
Leuven_1_0050697,LEUVEN_1,0.8211441126957688,0.7391272659719383,0.8607399346288284
Leuven_1_0050698,LEUVEN_1,0.717970128704191,0.6216301771751555,0.7537981152380371
Leuven_1_0050699,LEUVEN_1,0.8627806069620174,0.8373498919858369,0.8982068303151313
Leuven_1_0050700,LEUVEN_1,0.9120036252833474,0.8149972915110832,0.8640482815025833
Leuven_1_0050701,LEUVEN_1,0.8395885501032458,0.7548954564597217,0.8523918537366327
Leuven_1_0050702,LEUVEN_1,0.7491279881420353,0.7130813705843942,0.8914522212804107
Leuven_1_0050703,LEUVEN_1,0.8081804576880156,0.7486912001667292,0.8665853414002859
Leuven_1_0050704,LEUVEN_1,0.7360937609456848,0.6139391421591,0.7611000549593775
Leuven_1_0050705,LEUVEN_1,0.787704462495008,0.7459747420095342,0.9060179618009432
Leuven_1_0050707,LEUVEN_1,0.7111293540735139,0.6806665480983632,0.8188639121497113
Leuven_1_0050708,LEUVEN_1,0.7817763537735276,0.7674533314174031,0.867667450983964
Leuven_1_0050709,LEUVEN_1,0.7369773491026205,0.6795406498037235,0.8761806326905459
Leuven_1_0050710,LEUVEN_1,0.7446977682695588,0.6394263706585548,0.8289128951906293
Leuven_1_0050711,LEUVEN_1,0.7607626248834756,0.7337456329540806,0.884021157738844
Leuven_2_0050722,LEUVEN_2,0.5705919472473412,0.5628690268181981,0.7724101266430236
Leuven_2_0050723,LEUVEN_2,0.6996124157041143,0.4298286426124335,0.7070110235497895
Leuven_2_0050724,LEUVEN_2,0.7126331946166484,0.6674484154337753,0.8806891513655501
Leuven_2_0050725,LEUVEN_2,0.8073380115667648,0.7464857654786253,0.8781488012893417
Leuven_2_0050726,LEUVEN_2,0.7327240799486818,0.6834663138954422,0.8258352297998905
Leuven_2_0050728,LEUVEN_2,0.7323150197143362,0.7026076274898789,0.8793887590815106
Leuven_2_0050730,LEUVEN_2,0.7274158428609774,0.6421687165349629,0.7833891468741665
Leuven_2_0050731,LEUVEN_2,0.6430958759958612,0.5005948016753917,0.7492675124646305
Leuven_2_0050732,LEUVEN_2,0.6771165496353385,0.5675832621334423,0.8276909122387454
Leuven_2_0050733,LEUVEN_2,0.6942077357176594,0.6606099779312162,0.9004463319861775
Leuven_2_0050735,LEUVEN_2,0.7328494236332369,0.6557802024487801,0.9025413232986284
Leuven_2_0050736,LEUVEN_2,0.6300455024840331,0.4248546315376814,0.6552570955448942
Leuven_2_0050737,LEUVEN_2,0.8217346077275682,0.7799816823970313,0.8911969766029458
Leuven_2_0050738,LEUVEN_2,0.6867612056276089,0.6127456034566404,0.851868235182172
Leuven_2_0050739,LEUVEN_2,0.7011505342960698,0.6102602011404874,0.8955654334352035
Leuven_2_0050740,LEUVEN_2,0.6839209256640039,0.5443871548846149,0.7508370367467331
Leuven_2_0050741,LEUVEN_2,0.6784252581933562,0.5229833966412992,0.7317166465058189
Leuven_2_0050742,LEUVEN_2,0.8006258989377378,0.7259584281080553,0.8746087001129577
Leuven_2_0050743,LEUVEN_2,0.6298591159815974,0.49797817363841695,0.8285848830114074
Leuven_2_0050744,LEUVEN_2,0.7947839321433652,0.6252960123757354,0.8236788445498175
Leuven_2_0050745,LEUVEN_2,0.7505138756728562,0.6811968818050027,0.8283276968263941
Leuven_2_0050746,LEUVEN_2,0.7951578050904863,0.6317084741819053,0.8404995155343251
Leuven_2_0050747,LEUVEN_2,0.7085774331848451,0.5599774608086137,0.7338492665449792
Leuven_2_0050748,LEUVEN_2,0.6845242330688025,0.593219791091662,0.8308989698469467
Leuven_2_0050749,LEUVEN_2,0.6426951192504732,0.5348327936232442,0.6097175439175734
Leuven_2_0050750,LEUVEN_2,0.8122046149580274,0.4647173735731299,0.6971556195392024
Leuven_2_0050751,LEUVEN_2,0.7101227754915712,0.5607582805167172,0.7959906104061656
Leuven_2_0050752,LEUVEN_2,0.7122036168523235,0.6686350164016064,0.846307874656909
Leuven_2_0050753,LEUVEN_2,0.7397346925552616,0.6005519477663619,0.7866951470634285
Leuven_2_0050754,LEUVEN_2,0.700749931186673,0.688876564927765,0.8334320990402576
Leuven_2_0050755,LEUVEN_2,0.6534294319357523,0.569221741744575,0.8395136634552661
