file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
USM_0050532,236,2.0,62,3.552713678800501e-15,5.32288938501004e-16,3.782982157982015e-16,3.552713678800501e-15,5.424294659510781e-16,5.181040781584064e-16,7.105427357601002e-15,4.0727866162391487e-16,1.2368706881749892e-15
Yale_0050604,196,2.0,53,1.7763568394002505e-15,4.3870437803091997e-16,2.0107372557100055e-16,1.7763568394002505e-15,4.436861958740036e-16,2.2862370433021743e-16,5.3290705182007506e-15,5.996960901008617e-16,4.704056074708071e-16
CMU_a_0050649,236,2.0,62,3.552713678800501e-15,5.811532550731039e-16,2.911251486794855e-16,1.7763568394002505e-15,4.666996955814121e-16,2.680983007613341e-16,5.3290705182007506e-15,4.059906783274483e-16,6.019875955745295e-16
Caltech_0051480,146,2.0,60,8.881784197001252e-16,3.9161568193886295e-16,1.5131928631928062e-16,1.3322676295501878e-15,4.07518497791736e-16,1.9161627017604555e-16,5.3290705182007506e-15,4.46383251586503e-16,5.361966015226682e-16
KKI_0050791,124,2.5,62,2.664535259100376e-15,5.823271438057836e-16,3.634952421365328e-16,3.552713678800501e-15,5.137078561487412e-16,4.070817756958907e-16,7.105427357601002e-15,4.643084808182919e-16,7.697546304067752e-16
Leuven_1_0050687,246,1.6664400100708008,49,3.552713678800501e-15,5.2378570611250545e-16,3.242262425618281e-16,3.552713678800501e-15,5.234073598200975e-16,3.3388929481319524e-16,5.3290705182007506e-15,4.209714236354415e-16,6.283039931952737e-16
Leuven_2_0050732,246,1.6512600183486938,62,3.552713678800501e-15,4.982456940714847e-16,3.355340696644917e-16,3.552713678800501e-15,4.479239554400901e-16,3.2402064570541606e-16,5.3290705182007506e-15,5.946342555482719e-16,5.1645930330711e-16
MaxMun_a_0051365,116,3.0,62,2.664535259100376e-15,3.987843421925244e-16,2.4671622769447924e-16,3.552713678800501e-15,4.317079449662159e-16,3.1250722174634037e-16,7.105427357601002e-15,3.981340260025139e-16,6.31593542897867e-16
MaxMun_d_0051349,196,3.0,62,3.552713678800501e-15,4.824367470888005e-16,3.454027187722709e-16,3.552713678800501e-15,4.33181355135818e-16,3.273101954080091e-16,7.105427357601002e-15,5.625908076191847e-16,8.289665250534502e-16
NYU_0050978,176,2.0,62,2.664535259100376e-15,4.670064210647047e-16,2.64808751058741e-16,2.664535259100376e-15,4.129330300701261e-16,2.7303262531522373e-16,5.3290705182007506e-15,4.3990352571905664e-16,9.210739167260555e-16
