file_id,T,max_abs_err,mean_abs_err,corr,n_mismatch_1em8,n_mismatch_1em10,n_dead_roi
UCLA_1_0051201,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051219,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051239,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051264,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051281,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051308,116,0.0,0.0,1.0,0,0,0
UM_1_0050280,296,0.0,0.0,1.0,0,0,0
UM_1_0050298,296,0.0,0.0,0.9999999999999998,0,0,0
UM_1_0050320,296,0.0,0.0,1.0,0,0,0
UM_1_0050338,296,0.0,0.0,1.0,0,0,0
UM_1_0050354,296,0.0,0.0,1.0,0,0,0
UM_1_0050370,296,0.0,0.0,1.0,0,0,0
UM_2_0050390,296,0.0,0.0,1.0,0,0,0
UM_2_0050415,296,0.0,0.0,1.0,0,0,0
USM_0050437,236,0.0,0.0,1.0,0,0,0
USM_0050466,236,0.0,0.0,1.0,0,0,0
USM_0050492,236,0.0,0.0,1.0,0,0,0
USM_0050511,236,0.0,0.0,1.0,0,0,0
USM_0050532,236,0.0,0.0,1.0,0,0,0
Yale_0050566,196,0.0,0.0,1.0,0,0,0
Yale_0050604,196,0.0,0.0,1.0,0,0,0
Yale_0050621,196,0.0,0.0,1.0,0,0,0
CMU_a_0050649,236,0.0,0.0,1.0,0,0,0
CMU_b_0050667,316,0.0,0.0,1.0,0,0,0
Caltech_0051480,146,0.0,0.0,1.0,0,0,0
KKI_0050775,152,0.0,0.0,1.0,0,0,0
KKI_0050791,124,0.0,0.0,0.9999999999999998,0,0,0
KKI_0050814,152,0.0,0.0,1.0,0,0,0
Leuven_1_0050687,246,0.0,0.0,1.0,0,0,0
Leuven_1_0050703,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050732,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050749,246,0.0,0.0,1.0,0,0,0
MaxMun_a_0051365,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051335,116,0.0,0.0,1.0,0,0,0
MaxMun_d_0051349,196,0.0,0.0,1.0,0,0,0
NYU_0050959,176,0.0,0.0,1.0,0,0,0
NYU_0050978,176,0.0,0.0,1.0,0,0,0
NYU_0050995,176,0.0,0.0,1.0,0,0,0
NYU_0051013,176,0.0,0.0,1.0,0,0,0
NYU_0051032,176,0.0,0.0,1.0,0,0,0
NYU_0051050,176,0.0,0.0,1.0,0,0,0
NYU_0051066,176,0.0,0.0,1.0,0,0,0
NYU_0051082,176,0.0,0.0,1.0,0,0,0
NYU_0051099,176,0.0,0.0,1.0,0,0,0
NYU_0051117,176,0.0,0.0,1.0,0,0,0
NYU_0051151,176,0.0,0.0,1.0,0,0,0
Olin_0050112,206,0.0,0.0,1.0,0,0,0
Olin_0050129,206,0.0,0.0,1.0,0,0,0
Pitt_0050011,196,0.0,0.0,1.0,0,0,0
Pitt_0050029,196,0.0,0.0,1.0,0,0,0
Pitt_0050046,196,0.0,0.0,1.0,0,0,0
SBL_0051557,196,0.0,0.0,1.0,0,0,0
SBL_0051574,196,0.0,0.0,1.0,0,0,0
SDSU_0050187,176,0.0,0.0,1.0,0,0,0
SDSU_0050205,176,0.0,0.0,1.0,0,0,0
Stanford_0051165,176,0.0,0.0,1.0,0,0,0
Stanford_0051182,236,0.0,0.0,1.0,0,0,0
Stanford_0051198,236,0.0,0.0,1.0,0,0,0
Trinity_0050249,146,0.0,0.0,1.0,0,0,0
Trinity_0050268,146,0.0,0.0,1.0,0,0,0
UCLA_1_0051202,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051220,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051240,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051265,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051282,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051309,116,0.0,0.0,1.0,0,0,0
UM_1_0050282,296,0.0,0.0,1.0,0,0,0
UM_1_0050300,296,0.0,0.0,1.0,0,0,0
UM_1_0050321,296,0.0,0.0,1.0,0,0,0
UM_1_0050339,296,0.0,0.0,1.0,0,0,0
UM_1_0050355,296,0.0,0.0,1.0,0,0,0
UM_1_0050371,296,0.0,0.0,1.0,0,0,0
UM_2_0050391,296,0.0,0.0,1.0,0,0,0
UM_2_0050416,296,0.0,0.0,1.0,0,0,0
USM_0050438,236,0.0,0.0,1.0,0,0,0
USM_0050467,236,0.0,0.0,1.0,0,0,0
USM_0050493,236,0.0,0.0,1.0,0,0,0
USM_0050514,236,0.0,0.0,1.0,0,0,0
Yale_0050551,196,0.0,0.0,1.0,0,0,0
Yale_0050567,196,0.0,0.0,1.0,0,0,0
Yale_0050605,196,0.0,0.0,1.0,0,0,0
Yale_0050622,196,0.0,0.0,1.0,0,0,0
CMU_a_0050654,236,0.0,0.0,1.0,0,0,0
Caltech_0051456,146,0.0,0.0,1.0,0,0,0
Caltech_0051481,146,0.0,0.0,1.0,0,0,0
KKI_0050776,152,0.0,0.0,1.0,0,0,0
KKI_0050792,124,0.0,0.0,1.0,0,0,0
KKI_0050815,152,0.0,0.0,1.0,0,0,0
Leuven_1_0050688,246,0.0,0.0,1.0,0,0,0
Leuven_1_0050704,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050733,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050750,246,0.0,0.0,1.0,0,0,0
MaxMun_a_0051369,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051336,116,0.0,0.0,1.0,0,0,0
MaxMun_d_0051350,196,0.0,0.0,1.0,0,0,0
NYU_0050960,176,0.0,0.0,1.0,0,0,0
NYU_0050979,176,0.0,0.0,1.0,0,0,0
NYU_0050996,176,0.0,0.0,1.0,0,0,0
NYU_0051014,176,0.0,0.0,1.0,0,0,0
NYU_0051033,176,0.0,0.0,1.0,0,0,0
